train_reward,train_is_success,timesteps_this_iter,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
-19.663053192198277,0.0,50,110.80021643638611,False,50,,1,9d61fea3abdf4f06b5c79de7957a0f15,2020-11-23_14-03-14,1606158194,110.80021643638611,22193,scspcxxx,10.32.116.100,110.80021643638611,50,1,474bd_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=True,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
,,0,330.49167490005493,False,50,,2,9d61fea3abdf4f06b5c79de7957a0f15,2020-11-23_14-08-45,1606158525,441.29189133644104,22193,scspcxxx,10.32.116.100,441.29189133644104,50,2,474bd_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=True,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-19.77108920365572,0.0,50,89.84296131134033,False,100,,3,9d61fea3abdf4f06b5c79de7957a0f15,2020-11-23_14-10-14,1606158614,531.1348526477814,22193,scspcxxx,10.32.116.100,531.1348526477814,100,3,474bd_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=True,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-23.14059230685234,0.0,50,87.73265194892883,False,150,,4,9d61fea3abdf4f06b5c79de7957a0f15,2020-11-23_14-11-42,1606158702,618.8675045967102,22193,scspcxxx,10.32.116.100,618.8675045967102,150,4,474bd_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=True,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-7.869195312261581,1.0,16,34.32799220085144,False,166,,5,9d61fea3abdf4f06b5c79de7957a0f15,2020-11-23_14-12-16,1606158736,653.1954967975616,22193,scspcxxx,10.32.116.100,653.1954967975616,166,5,474bd_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=True,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-25.691552102565765,0.0,50,90.83189105987549,False,216,,6,9d61fea3abdf4f06b5c79de7957a0f15,2020-11-23_14-13-47,1606158827,744.0273878574371,22193,scspcxxx,10.32.116.100,744.0273878574371,216,6,474bd_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=True,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-21.619490802288055,0.0,50,87.3820903301239,False,266,,7,9d61fea3abdf4f06b5c79de7957a0f15,2020-11-23_14-15-15,1606158915,831.409478187561,22193,scspcxxx,10.32.116.100,831.409478187561,266,7,474bd_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=True,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-21.0016028881073,0.0,50,89.1074869632721,False,316,,8,9d61fea3abdf4f06b5c79de7957a0f15,2020-11-23_14-16-44,1606159004,920.5169651508331,22193,scspcxxx,10.32.116.100,920.5169651508331,316,8,474bd_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=True,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-25.36994904279709,0.0,50,88.03178811073303,False,366,,9,9d61fea3abdf4f06b5c79de7957a0f15,2020-11-23_14-18-12,1606159092,1008.5487532615662,22193,scspcxxx,10.32.116.100,1008.5487532615662,366,9,474bd_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=True,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-22.817663460969925,0.0,50,90.13219594955444,False,416,,10,9d61fea3abdf4f06b5c79de7957a0f15,2020-11-23_14-19-42,1606159182,1098.6809492111206,22193,scspcxxx,10.32.116.100,1098.6809492111206,416,10,474bd_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=True,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
