train_reward,train_is_success,timesteps_this_iter,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
-40.0,1.0,41,68.30932307243347,False,41,,1,076cb812e376452897b1511a9c10978f,2020-11-18_22-04-51,1605755091,68.30932307243347,2104,scspcxxx,10.32.116.100,68.30932307243347,41,1,d45ef_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=True,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-7.0,1.0,8,13.576082944869995,False,49,,2,076cb812e376452897b1511a9c10978f,2020-11-18_22-05-04,1605755104,81.88540601730347,2104,scspcxxx,10.32.116.100,81.88540601730347,49,2,d45ef_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=True,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,58.2546968460083,False,99,,3,076cb812e376452897b1511a9c10978f,2020-11-18_22-06-03,1605755163,140.14010286331177,2104,scspcxxx,10.32.116.100,140.14010286331177,99,3,d45ef_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=True,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,55.354482889175415,False,149,,4,076cb812e376452897b1511a9c10978f,2020-11-18_22-06-58,1605755218,195.49458575248718,2104,scspcxxx,10.32.116.100,195.49458575248718,149,4,d45ef_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=True,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,59.57992506027222,False,199,,5,076cb812e376452897b1511a9c10978f,2020-11-18_22-07-58,1605755278,255.0745108127594,2104,scspcxxx,10.32.116.100,255.0745108127594,199,5,d45ef_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=True,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,54.55432152748108,False,249,,6,076cb812e376452897b1511a9c10978f,2020-11-18_22-08-52,1605755332,309.6288323402405,2104,scspcxxx,10.32.116.100,309.6288323402405,249,6,d45ef_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=True,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,60.004918575286865,False,299,,7,076cb812e376452897b1511a9c10978f,2020-11-18_22-09-52,1605755392,369.63375091552734,2104,scspcxxx,10.32.116.100,369.63375091552734,299,7,d45ef_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=True,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-6.0,1.0,7,12.326026439666748,False,306,,8,076cb812e376452897b1511a9c10978f,2020-11-18_22-10-04,1605755404,381.9597773551941,2104,scspcxxx,10.32.116.100,381.9597773551941,306,8,d45ef_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=True,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,56.60469627380371,False,356,,9,076cb812e376452897b1511a9c10978f,2020-11-18_22-11-01,1605755461,438.5644736289978,2104,scspcxxx,10.32.116.100,438.5644736289978,356,9,d45ef_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=True,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,57.52979636192322,False,406,,10,076cb812e376452897b1511a9c10978f,2020-11-18_22-11-59,1605755519,496.094269990921,2104,scspcxxx,10.32.116.100,496.094269990921,406,10,d45ef_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=True,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,59.32940316200256,False,456,,11,076cb812e376452897b1511a9c10978f,2020-11-18_22-12-58,1605755578,555.4236731529236,2104,scspcxxx,10.32.116.100,555.4236731529236,456,11,d45ef_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=True,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,58.1796612739563,False,506,,12,076cb812e376452897b1511a9c10978f,2020-11-18_22-13-56,1605755636,613.6033344268799,2104,scspcxxx,10.32.116.100,613.6033344268799,506,12,d45ef_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=True,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,59.404860973358154,False,556,,13,076cb812e376452897b1511a9c10978f,2020-11-18_22-14-56,1605755696,673.008195400238,2104,scspcxxx,10.32.116.100,673.008195400238,556,13,d45ef_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=True,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,58.504645109176636,False,606,,14,076cb812e376452897b1511a9c10978f,2020-11-18_22-15-54,1605755754,731.5128405094147,2104,scspcxxx,10.32.116.100,731.5128405094147,606,14,d45ef_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=True,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,59.529919385910034,False,656,,15,076cb812e376452897b1511a9c10978f,2020-11-18_22-16-54,1605755814,791.0427598953247,2104,scspcxxx,10.32.116.100,791.0427598953247,656,15,d45ef_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=True,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,60.18002438545227,False,706,,16,076cb812e376452897b1511a9c10978f,2020-11-18_22-17-54,1605755874,851.222784280777,2104,scspcxxx,10.32.116.100,851.222784280777,706,16,d45ef_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=True,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,57.254361629486084,False,756,,17,076cb812e376452897b1511a9c10978f,2020-11-18_22-18-51,1605755931,908.4771459102631,2104,scspcxxx,10.32.116.100,908.4771459102631,756,17,d45ef_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=True,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,57.22956943511963,False,806,,18,076cb812e376452897b1511a9c10978f,2020-11-18_22-19-48,1605755988,965.7067153453827,2104,scspcxxx,10.32.116.100,965.7067153453827,806,18,d45ef_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=True,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,59.67986249923706,False,856,,19,076cb812e376452897b1511a9c10978f,2020-11-18_22-20-48,1605756048,1025.3865778446198,2104,scspcxxx,10.32.116.100,1025.3865778446198,856,19,d45ef_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=True,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
