train_reward,train_is_success,timesteps_this_iter,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
-8.321679793298244,1.0,14,16.433969974517822,False,14,,1,472235fdba144ca5a313575033dd13c6,2020-11-18_16-43-47,1605735827,16.433969974517822,26659,scspcxxx,10.32.116.100,16.433969974517822,14,1,19675_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=True,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-46.01870536804199,0.0,50,53.32982158660889,False,64,,2,472235fdba144ca5a313575033dd13c6,2020-11-18_16-44-41,1605735881,69.76379156112671,26659,scspcxxx,10.32.116.100,69.76379156112671,64,2,19675_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=True,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-0.609503448009491,1.0,1,8.325629472732544,False,65,,3,472235fdba144ca5a313575033dd13c6,2020-11-18_16-44-49,1605735889,78.08942103385925,26659,scspcxxx,10.32.116.100,78.08942103385925,65,3,19675_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=True,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-86.58829855918884,0.0,50,53.50474500656128,False,115,,4,472235fdba144ca5a313575033dd13c6,2020-11-18_16-45-43,1605735943,131.59416604042053,26659,scspcxxx,10.32.116.100,131.59416604042053,115,4,19675_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=True,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-53.86231306195259,0.0,50,49.553717851638794,False,165,,5,472235fdba144ca5a313575033dd13c6,2020-11-18_16-46-32,1605735992,181.14788389205933,26659,scspcxxx,10.32.116.100,181.14788389205933,165,5,19675_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=True,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-67.39726692438126,0.0,50,62.304468870162964,False,215,,6,472235fdba144ca5a313575033dd13c6,2020-11-18_16-47-34,1605736054,243.4523527622223,26659,scspcxxx,10.32.116.100,243.4523527622223,215,6,19675_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=True,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-38.1621036529541,0.0,50,51.33077120780945,False,265,,7,472235fdba144ca5a313575033dd13c6,2020-11-18_16-48-26,1605736106,294.78312397003174,26659,scspcxxx,10.32.116.100,294.78312397003174,265,7,19675_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=True,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-37.37270799279213,0.0,50,54.52802801132202,False,315,,8,472235fdba144ca5a313575033dd13c6,2020-11-18_16-49-20,1605736160,349.31115198135376,26659,scspcxxx,10.32.116.100,349.31115198135376,315,8,19675_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=True,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-4.687400788068771,1.0,8,17.476221799850464,False,323,,9,472235fdba144ca5a313575033dd13c6,2020-11-18_16-49-38,1605736178,366.7873737812042,26659,scspcxxx,10.32.116.100,366.7873737812042,323,9,19675_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=True,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-57.42149758338928,0.0,50,52.87981057167053,False,373,,10,472235fdba144ca5a313575033dd13c6,2020-11-18_16-50-31,1605736231,419.66718435287476,26659,scspcxxx,10.32.116.100,419.66718435287476,373,10,19675_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=True,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
