train_reward,train_is_success,timesteps_this_iter,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
-50.0,0.0,50,109.68714761734009,False,50,,1,471238512b9d4693b727dedc0cd225ff,2020-11-20_11-08-44,1605888524,109.68714761734009,6534,scspcxxx,10.32.116.100,109.68714761734009,50,1,67e77_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
,,0,331.21509170532227,False,50,,2,471238512b9d4693b727dedc0cd225ff,2020-11-20_11-14-15,1605888855,440.90223932266235,6534,scspcxxx,10.32.116.100,440.90223932266235,50,2,67e77_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,89.79109239578247,False,100,,3,471238512b9d4693b727dedc0cd225ff,2020-11-20_11-15-45,1605888945,530.6933317184448,6534,scspcxxx,10.32.116.100,530.6933317184448,100,3,67e77_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,87.75683379173279,False,150,,4,471238512b9d4693b727dedc0cd225ff,2020-11-20_11-17-13,1605889033,618.4501655101776,6534,scspcxxx,10.32.116.100,618.4501655101776,150,4,67e77_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-15.0,1.0,16,34.302549839019775,False,166,,5,471238512b9d4693b727dedc0cd225ff,2020-11-20_11-17-47,1605889067,652.7527153491974,6534,scspcxxx,10.32.116.100,652.7527153491974,166,5,67e77_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,90.78204274177551,False,216,,6,471238512b9d4693b727dedc0cd225ff,2020-11-20_11-19-18,1605889158,743.5347580909729,6534,scspcxxx,10.32.116.100,743.5347580909729,216,6,67e77_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,87.40665078163147,False,266,,7,471238512b9d4693b727dedc0cd225ff,2020-11-20_11-20-45,1605889245,830.9414088726044,6534,scspcxxx,10.32.116.100,830.9414088726044,266,7,67e77_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,89.10694694519043,False,316,,8,471238512b9d4693b727dedc0cd225ff,2020-11-20_11-22-14,1605889334,920.0483558177948,6534,scspcxxx,10.32.116.100,920.0483558177948,316,8,67e77_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,87.95657277107239,False,366,,9,471238512b9d4693b727dedc0cd225ff,2020-11-20_11-23-42,1605889422,1008.0049285888672,6534,scspcxxx,10.32.116.100,1008.0049285888672,366,9,67e77_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,90.1069004535675,False,416,,10,471238512b9d4693b727dedc0cd225ff,2020-11-20_11-25-12,1605889512,1098.1118290424347,6534,scspcxxx,10.32.116.100,1098.1118290424347,416,10,67e77_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
