train_reward,train_is_success,timesteps_this_iter,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
-50.0,0.0,50,109.75164556503296,False,50,,1,0da2849ba16c4c2382e0ad2b6f7b76b9,2020-11-20_14-02-47,1605898967,109.75164556503296,22989,scspcxxx,10.32.116.100,109.75164556503296,50,1,b839f_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
,,0,331.2673201560974,False,50,,2,0da2849ba16c4c2382e0ad2b6f7b76b9,2020-11-20_14-08-18,1605899298,441.01896572113037,22989,scspcxxx,10.32.116.100,441.01896572113037,50,2,b839f_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,89.86529040336609,False,100,,3,0da2849ba16c4c2382e0ad2b6f7b76b9,2020-11-20_14-09-48,1605899388,530.8842561244965,22989,scspcxxx,10.32.116.100,530.8842561244965,100,3,b839f_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,87.7819356918335,False,150,,4,0da2849ba16c4c2382e0ad2b6f7b76b9,2020-11-20_14-11-16,1605899476,618.66619181633,22989,scspcxxx,10.32.116.100,618.66619181633,150,4,b839f_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-15.0,1.0,16,34.30256652832031,False,166,,5,0da2849ba16c4c2382e0ad2b6f7b76b9,2020-11-20_14-11-50,1605899510,652.9687583446503,22989,scspcxxx,10.32.116.100,652.9687583446503,166,5,b839f_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,90.78172850608826,False,216,,6,0da2849ba16c4c2382e0ad2b6f7b76b9,2020-11-20_14-13-21,1605899601,743.7504868507385,22989,scspcxxx,10.32.116.100,743.7504868507385,216,6,b839f_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,87.40644764900208,False,266,,7,0da2849ba16c4c2382e0ad2b6f7b76b9,2020-11-20_14-14-48,1605899688,831.1569344997406,22989,scspcxxx,10.32.116.100,831.1569344997406,266,7,b839f_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,89.10706734657288,False,316,,8,0da2849ba16c4c2382e0ad2b6f7b76b9,2020-11-20_14-16-17,1605899777,920.2640018463135,22989,scspcxxx,10.32.116.100,920.2640018463135,316,8,b839f_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,88.03160786628723,False,366,,9,0da2849ba16c4c2382e0ad2b6f7b76b9,2020-11-20_14-17-45,1605899865,1008.2956097126007,22989,scspcxxx,10.32.116.100,1008.2956097126007,366,9,b839f_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,90.13225507736206,False,416,,10,0da2849ba16c4c2382e0ad2b6f7b76b9,2020-11-20_14-19-15,1605899955,1098.4278647899628,22989,scspcxxx,10.32.116.100,1098.4278647899628,416,10,b839f_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
