train_reward,train_is_success,timesteps_this_iter,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
-23.988649182021618,0.0,50,110.70254921913147,False,50,,1,2561e7412980420fbb988189ee565361,2020-11-23_11-36-14,1606149374,110.70254921913147,18383,scspcxxx,10.32.116.100,110.70254921913147,50,1,be0bb_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=True,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
,,0,330.4806010723114,False,50,,2,2561e7412980420fbb988189ee565361,2020-11-23_11-41-44,1606149704,441.18315029144287,18383,scspcxxx,10.32.116.100,441.18315029144287,50,2,be0bb_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=True,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-19.234096094965935,0.0,50,89.75279188156128,False,100,,3,2561e7412980420fbb988189ee565361,2020-11-23_11-43-14,1606149794,530.9359421730042,18383,scspcxxx,10.32.116.100,530.9359421730042,100,3,be0bb_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=True,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-22.599888116121292,0.0,50,87.75687146186829,False,150,,4,2561e7412980420fbb988189ee565361,2020-11-23_11-44-42,1606149882,618.6928136348724,18383,scspcxxx,10.32.116.100,618.6928136348724,150,4,be0bb_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=True,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-7.509776204824448,1.0,16,34.304792642593384,False,166,,5,2561e7412980420fbb988189ee565361,2020-11-23_11-45-16,1606149916,652.9976062774658,18383,scspcxxx,10.32.116.100,652.9976062774658,166,5,be0bb_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=True,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-24.053449511528015,0.0,50,90.83223080635071,False,216,,6,2561e7412980420fbb988189ee565361,2020-11-23_11-46-47,1606150007,743.8298370838165,18383,scspcxxx,10.32.116.100,743.8298370838165,216,6,be0bb_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=True,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-20.562030613422394,0.0,50,87.40707278251648,False,266,,7,2561e7412980420fbb988189ee565361,2020-11-23_11-48-14,1606150094,831.236909866333,18383,scspcxxx,10.32.116.100,831.236909866333,266,7,be0bb_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=True,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-22.38535377383232,0.0,50,89.08227586746216,False,316,,8,2561e7412980420fbb988189ee565361,2020-11-23_11-49-43,1606150183,920.3191857337952,18383,scspcxxx,10.32.116.100,920.3191857337952,316,8,be0bb_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=True,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-28.280538111925125,0.0,50,88.00651788711548,False,366,,9,2561e7412980420fbb988189ee565361,2020-11-23_11-51-11,1606150271,1008.3257036209106,18383,scspcxxx,10.32.116.100,1008.3257036209106,366,9,be0bb_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=True,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-20.61151558160782,0.0,50,90.13168931007385,False,416,,10,2561e7412980420fbb988189ee565361,2020-11-23_11-52-42,1606150362,1098.4573929309845,18383,scspcxxx,10.32.116.100,1098.4573929309845,416,10,be0bb_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=False,from_images=True,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
