train_reward,train_is_success,timesteps_this_iter,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
-40.0,1.0,41,68.51534390449524,False,41,,1,75320264a4924ed3bb8d658d002a6d1a,2020-11-19_07-47-36,1605790056,68.51534390449524,12734,scspcxxx,10.32.116.100,68.51534390449524,41,1,3d2a8_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=True,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
,,0,63.86858773231506,False,41,,2,75320264a4924ed3bb8d658d002a6d1a,2020-11-19_07-48-40,1605790120,132.3839316368103,12734,scspcxxx,10.32.116.100,132.3839316368103,41,2,3d2a8_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=True,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-7.0,1.0,8,13.562387228012085,False,49,,3,75320264a4924ed3bb8d658d002a6d1a,2020-11-19_07-48-54,1605790134,145.9463188648224,12734,scspcxxx,10.32.116.100,145.9463188648224,49,3,3d2a8_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=True,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,58.2545530796051,False,99,,4,75320264a4924ed3bb8d658d002a6d1a,2020-11-19_07-49-52,1605790192,204.2008719444275,12734,scspcxxx,10.32.116.100,204.2008719444275,99,4,3d2a8_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=True,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,55.329285621643066,False,149,,5,75320264a4924ed3bb8d658d002a6d1a,2020-11-19_07-50-47,1605790247,259.53015756607056,12734,scspcxxx,10.32.116.100,259.53015756607056,149,5,3d2a8_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=True,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,59.579657793045044,False,199,,6,75320264a4924ed3bb8d658d002a6d1a,2020-11-19_07-51-47,1605790307,319.1098153591156,12734,scspcxxx,10.32.116.100,319.1098153591156,199,6,3d2a8_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=True,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,54.57923936843872,False,249,,7,75320264a4924ed3bb8d658d002a6d1a,2020-11-19_07-52-41,1605790361,373.6890547275543,12734,scspcxxx,10.32.116.100,373.6890547275543,249,7,3d2a8_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=True,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,59.97968149185181,False,299,,8,75320264a4924ed3bb8d658d002a6d1a,2020-11-19_07-53-41,1605790421,433.6687362194061,12734,scspcxxx,10.32.116.100,433.6687362194061,299,8,3d2a8_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=True,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-6.0,1.0,7,12.32590365409851,False,306,,9,75320264a4924ed3bb8d658d002a6d1a,2020-11-19_07-53-54,1605790434,445.99463987350464,12734,scspcxxx,10.32.116.100,445.99463987350464,306,9,3d2a8_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=True,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,56.60424733161926,False,356,,10,75320264a4924ed3bb8d658d002a6d1a,2020-11-19_07-54-50,1605790490,502.5988872051239,12734,scspcxxx,10.32.116.100,502.5988872051239,356,10,3d2a8_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=True,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,57.5294976234436,False,406,,11,75320264a4924ed3bb8d658d002a6d1a,2020-11-19_07-55-48,1605790548,560.1283848285675,12734,scspcxxx,10.32.116.100,560.1283848285675,406,11,3d2a8_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=True,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,59.304420948028564,False,456,,12,75320264a4924ed3bb8d658d002a6d1a,2020-11-19_07-56-47,1605790607,619.4328057765961,12734,scspcxxx,10.32.116.100,619.4328057765961,456,12,3d2a8_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=True,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
,,0,64.24998784065247,False,456,,13,75320264a4924ed3bb8d658d002a6d1a,2020-11-19_07-57-51,1605790671,683.6827936172485,12734,scspcxxx,10.32.116.100,683.6827936172485,456,13,3d2a8_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=True,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,58.184523582458496,False,506,,14,75320264a4924ed3bb8d658d002a6d1a,2020-11-19_07-58-49,1605790729,741.867317199707,12734,scspcxxx,10.32.116.100,741.867317199707,506,14,3d2a8_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=True,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,59.37940573692322,False,556,,15,75320264a4924ed3bb8d658d002a6d1a,2020-11-19_07-59-49,1605790789,801.2467229366302,12734,scspcxxx,10.32.116.100,801.2467229366302,556,15,3d2a8_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=True,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
-50.0,0.0,50,58.504589796066284,False,606,,16,75320264a4924ed3bb8d658d002a6d1a,2020-11-19_08-00-47,1605790847,859.7513127326965,12734,scspcxxx,10.32.116.100,859.7513127326965,606,16,3d2a8_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,fix_goals=True,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=4,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=20000,update_after=1000"
