train_reward,train_is_success,timesteps_this_iter,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
-16.0,1.0,17,20.184082984924316,False,17,,1,c5c67ca126384153aa9e51c1fd0414b4,2020-11-18_11-41-15,1605717675,20.184082984924316,19087,scspcxxx,10.32.116.100,20.184082984924316,17,1,d3846_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
,,0,426.3092544078827,False,17,,2,c5c67ca126384153aa9e51c1fd0414b4,2020-11-18_11-48-21,1605718101,446.493337392807,19087,scspcxxx,10.32.116.100,446.493337392807,17,2,d3846_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
-50.0,0.0,50,60.83008527755737,False,67,,3,c5c67ca126384153aa9e51c1fd0414b4,2020-11-18_11-49-22,1605718162,507.3234226703644,19087,scspcxxx,10.32.116.100,507.3234226703644,67,3,d3846_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
-50.0,0.0,50,57.40436339378357,False,117,,4,c5c67ca126384153aa9e51c1fd0414b4,2020-11-18_11-50-20,1605718220,564.727786064148,19087,scspcxxx,10.32.116.100,564.727786064148,117,4,d3846_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
-50.0,0.0,50,50.2041380405426,False,167,,5,c5c67ca126384153aa9e51c1fd0414b4,2020-11-18_11-51-10,1605718270,614.9319241046906,19087,scspcxxx,10.32.116.100,614.9319241046906,167,5,d3846_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
-50.0,0.0,50,60.35478711128235,False,217,,6,c5c67ca126384153aa9e51c1fd0414b4,2020-11-18_11-52-10,1605718330,675.2867112159729,19087,scspcxxx,10.32.116.100,675.2867112159729,217,6,d3846_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
-50.0,0.0,50,50.72907567024231,False,267,,7,c5c67ca126384153aa9e51c1fd0414b4,2020-11-18_11-53-01,1605718381,726.0157868862152,19087,scspcxxx,10.32.116.100,726.0157868862152,267,7,d3846_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
-50.0,0.0,50,54.929386377334595,False,317,,8,c5c67ca126384153aa9e51c1fd0414b4,2020-11-18_11-53-56,1605718436,780.9451732635498,19087,scspcxxx,10.32.116.100,780.9451732635498,317,8,d3846_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
-50.0,0.0,50,58.77971315383911,False,367,,9,c5c67ca126384153aa9e51c1fd0414b4,2020-11-18_11-54-55,1605718495,839.7248864173889,19087,scspcxxx,10.32.116.100,839.7248864173889,367,9,d3846_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
-50.0,0.0,50,56.95460820198059,False,417,,10,c5c67ca126384153aa9e51c1fd0414b4,2020-11-18_11-55-52,1605718552,896.6794946193695,19087,scspcxxx,10.32.116.100,896.6794946193695,417,10,d3846_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
