train_reward,train_is_success,timesteps_this_iter,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
-22.0,1.0,23,19.520629405975342,False,23,,1,8cea861e8a7d4e52becb2a39afd0ef4d,2020-11-17_14-23-19,1605640999,19.520629405975342,8783,scspcxxx,10.32.116.100,19.520629405975342,23,1,4dbb1_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
,,0,442.7375235557556,False,23,,2,8cea861e8a7d4e52becb2a39afd0ef4d,2020-11-17_14-30-42,1605641442,462.25815296173096,8783,scspcxxx,10.32.116.100,462.25815296173096,23,2,4dbb1_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
-50.0,0.0,50,43.628435373306274,False,73,,3,8cea861e8a7d4e52becb2a39afd0ef4d,2020-11-17_14-31-26,1605641486,505.88658833503723,8783,scspcxxx,10.32.116.100,505.88658833503723,73,3,4dbb1_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
-50.0,0.0,50,46.178706884384155,False,123,,4,8cea861e8a7d4e52becb2a39afd0ef4d,2020-11-17_14-32-12,1605641532,552.0652952194214,8783,scspcxxx,10.32.116.100,552.0652952194214,123,4,4dbb1_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
-50.0,0.0,50,41.62844181060791,False,173,,5,8cea861e8a7d4e52becb2a39afd0ef4d,2020-11-17_14-32-54,1605641574,593.6937370300293,8783,scspcxxx,10.32.116.100,593.6937370300293,173,5,4dbb1_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
-50.0,0.0,50,46.30369567871094,False,223,,6,8cea861e8a7d4e52becb2a39afd0ef4d,2020-11-17_14-33-40,1605641620,639.9974327087402,8783,scspcxxx,10.32.116.100,639.9974327087402,223,6,4dbb1_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
-50.0,0.0,50,37.15313267707825,False,273,,7,8cea861e8a7d4e52becb2a39afd0ef4d,2020-11-17_14-34-17,1605641657,677.1505653858185,8783,scspcxxx,10.32.116.100,677.1505653858185,273,7,4dbb1_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
-50.0,0.0,50,44.678706407547,False,323,,8,8cea861e8a7d4e52becb2a39afd0ef4d,2020-11-17_14-35-02,1605641702,721.8292717933655,8783,scspcxxx,10.32.116.100,721.8292717933655,323,8,4dbb1_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
-50.0,0.0,50,45.603673458099365,False,373,,9,8cea861e8a7d4e52becb2a39afd0ef4d,2020-11-17_14-35-47,1605641747,767.4329452514648,8783,scspcxxx,10.32.116.100,767.4329452514648,373,9,4dbb1_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
-50.0,0.0,50,43.52853512763977,False,423,,10,8cea861e8a7d4e52becb2a39afd0ef4d,2020-11-17_14-36-31,1605641791,810.9614803791046,8783,scspcxxx,10.32.116.100,810.9614803791046,423,10,4dbb1_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
-3.0,1.0,4,8.2506103515625,False,427,,11,8cea861e8a7d4e52becb2a39afd0ef4d,2020-11-17_14-36-39,1605641799,819.2120907306671,8783,scspcxxx,10.32.116.100,819.2120907306671,427,11,4dbb1_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
-50.0,0.0,50,44.55352520942688,False,477,,12,8cea861e8a7d4e52becb2a39afd0ef4d,2020-11-17_14-37-24,1605641844,863.765615940094,8783,scspcxxx,10.32.116.100,863.765615940094,477,12,4dbb1_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
,,0,284.2728912830353,False,477,,13,8cea861e8a7d4e52becb2a39afd0ef4d,2020-11-17_14-42-08,1605642128,1148.0385072231293,8783,scspcxxx,10.32.116.100,1148.0385072231293,477,13,4dbb1_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
-50.0,0.0,50,32.602662324905396,False,527,,14,8cea861e8a7d4e52becb2a39afd0ef4d,2020-11-17_14-42-41,1605642161,1180.6411695480347,8783,scspcxxx,10.32.116.100,1180.6411695480347,527,14,4dbb1_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
-50.0,0.0,50,50.429110288619995,False,577,,15,8cea861e8a7d4e52becb2a39afd0ef4d,2020-11-17_14-43-31,1605642211,1231.0702798366547,8783,scspcxxx,10.32.116.100,1231.0702798366547,577,15,4dbb1_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
-50.0,0.0,50,46.978912591934204,False,627,,16,8cea861e8a7d4e52becb2a39afd0ef4d,2020-11-17_14-44-18,1605642258,1278.0491924285889,8783,scspcxxx,10.32.116.100,1278.0491924285889,627,16,4dbb1_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
-8.0,1.0,9,8.700752258300781,False,636,,17,8cea861e8a7d4e52becb2a39afd0ef4d,2020-11-17_14-44-27,1605642267,1286.7499446868896,8783,scspcxxx,10.32.116.100,1286.7499446868896,636,17,4dbb1_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
-50.0,0.0,50,43.02839732170105,False,686,,18,8cea861e8a7d4e52becb2a39afd0ef4d,2020-11-17_14-45-10,1605642310,1329.7783420085907,8783,scspcxxx,10.32.116.100,1329.7783420085907,686,18,4dbb1_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
-50.0,0.0,50,45.578840017318726,False,736,,19,8cea861e8a7d4e52becb2a39afd0ef4d,2020-11-17_14-45-55,1605642355,1375.3571820259094,8783,scspcxxx,10.32.116.100,1375.3571820259094,736,19,4dbb1_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
-50.0,0.0,50,42.47837948799133,False,786,,20,8cea861e8a7d4e52becb2a39afd0ef4d,2020-11-17_14-46-38,1605642398,1417.8355615139008,8783,scspcxxx,10.32.116.100,1417.8355615139008,786,20,4dbb1_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
-50.0,0.0,50,46.27919816970825,False,836,,21,8cea861e8a7d4e52becb2a39afd0ef4d,2020-11-17_14-47-24,1605642444,1464.114759683609,8783,scspcxxx,10.32.116.100,1464.114759683609,836,21,4dbb1_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
-50.0,0.0,50,45.80335092544556,False,886,,22,8cea861e8a7d4e52becb2a39afd0ef4d,2020-11-17_14-48-10,1605642490,1509.9181106090546,8783,scspcxxx,10.32.116.100,1509.9181106090546,886,22,4dbb1_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
