train_reward,train_is_success,timesteps_this_iter,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
-22.0,1.0,23,23.31765580177307,False,23,,1,7d81e62ec3b1440696c199e525c7013f,2020-11-17_16-28-08,1605648488,23.31765580177307,18268,scspcxxx,10.32.116.100,23.31765580177307,23,1,b8e6f_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
,,0,448.9358847141266,False,23,,2,7d81e62ec3b1440696c199e525c7013f,2020-11-17_16-35-37,1605648937,472.25354051589966,18268,scspcxxx,10.32.116.100,472.25354051589966,23,2,b8e6f_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
-50.0,0.0,50,43.553537368774414,False,73,,3,7d81e62ec3b1440696c199e525c7013f,2020-11-17_16-36-20,1605648980,515.8070778846741,18268,scspcxxx,10.32.116.100,515.8070778846741,73,3,b8e6f_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
-50.0,0.0,50,46.12874627113342,False,123,,4,7d81e62ec3b1440696c199e525c7013f,2020-11-17_16-37-06,1605649026,561.9358241558075,18268,scspcxxx,10.32.116.100,561.9358241558075,123,4,b8e6f_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
-50.0,0.0,50,41.65366792678833,False,173,,5,7d81e62ec3b1440696c199e525c7013f,2020-11-17_16-37-48,1605649068,603.5894920825958,18268,scspcxxx,10.32.116.100,603.5894920825958,173,5,b8e6f_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
-50.0,0.0,50,46.30358076095581,False,223,,6,7d81e62ec3b1440696c199e525c7013f,2020-11-17_16-38-34,1605649114,649.8930728435516,18268,scspcxxx,10.32.116.100,649.8930728435516,223,6,b8e6f_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
-50.0,0.0,50,36.90279173851013,False,273,,7,7d81e62ec3b1440696c199e525c7013f,2020-11-17_16-39-11,1605649151,686.7958645820618,18268,scspcxxx,10.32.116.100,686.7958645820618,273,7,b8e6f_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
-50.0,0.0,50,44.6536386013031,False,323,,8,7d81e62ec3b1440696c199e525c7013f,2020-11-17_16-39-56,1605649196,731.4495031833649,18268,scspcxxx,10.32.116.100,731.4495031833649,323,8,b8e6f_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
-50.0,0.0,50,45.57868719100952,False,373,,9,7d81e62ec3b1440696c199e525c7013f,2020-11-17_16-40-41,1605649241,777.0281903743744,18268,scspcxxx,10.32.116.100,777.0281903743744,373,9,b8e6f_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
-50.0,0.0,50,43.47841835021973,False,423,,10,7d81e62ec3b1440696c199e525c7013f,2020-11-17_16-41-25,1605649285,820.5066087245941,18268,scspcxxx,10.32.116.100,820.5066087245941,423,10,b8e6f_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=10,gradient_steps=1,num_seed_steps=1000,num_timesteps=100000,update_after=1000"
