train_reward,train_is_success,timesteps_this_iter,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
-50.0,0.0,50,62.36978268623352,False,50,,1,fb7a04da8b834e0cbe2f1f8dce5f7415,2020-11-18_12-27-34,1605720454,62.36978268623352,20927,scspcxxx,10.32.116.100,62.36978268623352,50,1,311ef_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=20,gradient_steps=40,num_seed_steps=100,num_timesteps=100000,update_after=100"
0.0,1.0,1,8.400494575500488,False,51,,2,fb7a04da8b834e0cbe2f1f8dce5f7415,2020-11-18_12-27-42,1605720462,70.77027726173401,20927,scspcxxx,10.32.116.100,70.77027726173401,51,2,311ef_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=20,gradient_steps=40,num_seed_steps=100,num_timesteps=100000,update_after=100"
-50.0,0.0,50,56.639432191848755,False,101,,3,fb7a04da8b834e0cbe2f1f8dce5f7415,2020-11-18_12-28-39,1605720519,127.40970945358276,20927,scspcxxx,10.32.116.100,127.40970945358276,101,3,311ef_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=20,gradient_steps=40,num_seed_steps=100,num_timesteps=100000,update_after=100"
-50.0,0.0,50,201.13818097114563,False,151,,4,fb7a04da8b834e0cbe2f1f8dce5f7415,2020-11-18_12-32-00,1605720720,328.5478904247284,20927,scspcxxx,10.32.116.100,328.5478904247284,151,4,311ef_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=20,gradient_steps=40,num_seed_steps=100,num_timesteps=100000,update_after=100"
-50.0,0.0,50,225.805593252182,False,201,,5,fb7a04da8b834e0cbe2f1f8dce5f7415,2020-11-18_12-35-46,1605720946,554.3534836769104,20927,scspcxxx,10.32.116.100,554.3534836769104,201,5,311ef_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=20,gradient_steps=40,num_seed_steps=100,num_timesteps=100000,update_after=100"
-50.0,0.0,50,266.81620836257935,False,251,,6,fb7a04da8b834e0cbe2f1f8dce5f7415,2020-11-18_12-40-13,1605721213,821.1696920394897,20927,scspcxxx,10.32.116.100,821.1696920394897,251,6,311ef_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=20,gradient_steps=40,num_seed_steps=100,num_timesteps=100000,update_after=100"
-50.0,0.0,50,166.14206886291504,False,301,,7,fb7a04da8b834e0cbe2f1f8dce5f7415,2020-11-18_12-42-59,1605721379,987.3117609024048,20927,scspcxxx,10.32.116.100,987.3117609024048,301,7,311ef_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=20,gradient_steps=40,num_seed_steps=100,num_timesteps=100000,update_after=100"
-50.0,0.0,50,252.8986759185791,False,351,,8,fb7a04da8b834e0cbe2f1f8dce5f7415,2020-11-18_12-47-12,1605721632,1240.210436820984,20927,scspcxxx,10.32.116.100,1240.210436820984,351,8,311ef_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=20,gradient_steps=40,num_seed_steps=100,num_timesteps=100000,update_after=100"
-50.0,0.0,50,224.97974109649658,False,401,,9,fb7a04da8b834e0cbe2f1f8dce5f7415,2020-11-18_12-50-57,1605721857,1465.1901779174805,20927,scspcxxx,10.32.116.100,1465.1901779174805,401,9,311ef_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=20,gradient_steps=40,num_seed_steps=100,num_timesteps=100000,update_after=100"
-50.0,0.0,50,225.6429693698883,False,451,,10,fb7a04da8b834e0cbe2f1f8dce5f7415,2020-11-18_12-54-42,1605722082,1690.8331472873688,20927,scspcxxx,10.32.116.100,1690.8331472873688,451,10,311ef_00000,"0_batch_size=128,critic_tau=0.005,env_id=KinovaReach-v0,feature_dim=128,from_images=False,hidden_sizes=[512, 512, 512],lr=0.0006,num_resampled_goals=1,seed=1,eval_every=20,gradient_steps=40,num_seed_steps=100,num_timesteps=100000,update_after=100"
